run_accession,bioproject_accession,biosample_accession,sample_accession,total_bases,total_spots,published,platform,instrument_model,library_strategy,library_source,organism,center_name,organization_name,institution,geo_loc_name,file_size_mb,source,published_dt,year,is_saudi_submitter,is_pathogen,is_wgs,is_genomic,is_complete_genome
SRR31990168,,SAMN46241507,SRS23782353,171405856.0,127960.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,146.27511310577393,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
SRR31990167,,SAMN46241478,SRS23782354,177084395.0,128000.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,150.47610187530518,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
SRR31990166,,SAMN46241479,SRS23782355,177008524.0,128000.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,150.41824626922607,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
SRR31990165,,SAMN46241480,SRS23782356,177696040.0,128000.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,150.3186902999878,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
SRR31990164,,SAMN46241481,SRS23782357,172829753.0,125148.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,146.2593593597412,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
SRR31990163,,SAMN46241482,SRS23782358,174048634.0,125742.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,147.0569190979004,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
SRR31990162,,SAMN46241483,SRS23782359,21330182.0,15150.0,2026-01-13 00:00:28,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,17.99224281311035,NCBI,2026-01-13 00:00:28,2026,True,False,False,False,False
SRR28874883,PRJNA1211660,SAMN41052227,SRS21188722,55023525.0,122585.0,2025-01-22 09:26:23,ILLUMINA,Illumina NovaSeq 6000,AMPLICON,METAGENOMIC,hydrothermal vent metagenome,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology (KAUST),KAUST,"Saudi Arabia: Red Sea, Hatiba hydrothermal vent fields",16.84890842437744,NCBI,2025-01-22 09:26:23,2025,True,False,False,False,False
SRR31990184,,SAMN46241493,SRS23782337,141804790.0,102704.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,120.23358821868896,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
SRR31990185,,SAMN46241492,SRS23782336,173673153.0,128000.0,2026-01-13 00:00:28,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,147.27039623260498,NCBI,2026-01-13 00:00:28,2026,True,False,False,False,False
